pivot_ip,initial_attacker,subsequent_victim,compromised_time,attack_time,time_to_attack,compromise_tactic,attack_tactic,compromise_port,attack_port,hours_to_attack
143.88.1.18,143.88.15.10,143.88.2.20,1709092837.805654,1709093218.098984,380.29332995414734,Reconnaissance,Credential Access,20,4848,0.10563703609837426
143.88.5.14,143.88.4.11,143.88.6.10,1709092982.221628,1709093624.620896,642.3992681503296,Reconnaissance,Reconnaissance,443,143,0.17844424115286933
143.88.11.10,143.88.10.12,143.88.12.12,1709093065.175638,1709094387.161054,1321.9854159355164,Reconnaissance,Reconnaissance,80,53,0.367218171093199
143.88.14.11,143.88.13.12,143.88.15.12,1709093390.821218,1709093699.398442,308.5772240161896,Reconnaissance,Defense Evasion,22,445,0.08571589556005266
143.88.6.11,143.88.5.14,143.88.7.14,1709093624.620915,1709094510.262603,885.6416881084442,Reconnaissance,Credential Access,143,4848,0.24601158003012338
143.88.15.10,143.88.14.11,143.88.1.21,1709093818.715107,1709094860.647722,1041.9326150417328,Reconnaissance,Initial Access,21,80,0.2894257264004813
143.88.13.12,143.88.12.12,143.88.14.12,1709094307.451318,1709094900.636255,593.1849370002747,Reconnaissance,Defense Evasion,25,445,0.1647735936111874
143.88.12.12,143.88.11.10,143.88.13.10,1709094387.161054,1709096200.936341,1813.7752871513367,Reconnaissance,Credential Access,53,4848,0.5038264686531491
143.88.8.12,143.88.7.11,143.88.9.13,1709094627.873068,1709095373.37969,745.506621837616,Reconnaissance,Reconnaissance,135,111,0.2070851727326711
143.88.7.11,143.88.6.11,143.88.8.13,1709095049.675378,1709095527.28515,477.6097719669342,Reconnaissance,Defense Evasion,139,445,0.13266938110192616
143.88.9.12,143.88.8.12,143.88.10.13,1709095373.379777,1709115186.078404,19812.698626995087,Reconnaissance,Reconnaissance,111,110,5.503527396387524
143.88.3.11,143.88.2.17,143.88.4.13,1709095770.349389,1709096077.57072,307.2213308811188,Reconnaissance,Credential Access,445,4848,0.08533925857808855
143.88.2.17,143.88.1.18,143.88.3.12,1709095906.493092,1709096435.040665,528.547572851181,Reconnaissance,Reconnaissance,445,445,0.1468187702364392
143.88.10.12,143.88.9.12,143.88.11.12,1709115186.078462,1709116873.721723,1687.6432611942291,Reconnaissance,Reconnaissance,110,80,0.4687897947761748
