ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	conn_state	history
1760031171.000	C290932	192.168.1.13	58874	192.168.1.20	3389	tcp	rdp	74.616	SF	CcdD
1760031172.047	C509123	192.168.1.14	35382	192.168.1.20	22	tcp	ssh	36.829	SF	CcdD
1760031174.496	C942423	192.168.1.13	58329	208.67.222.222	443	tcp	ssl	32.992	SF	CcdDa
1760031174.573	C422621	192.168.1.17	37006	192.168.1.10	445	tcp	smb	43.911	SF	CcdD
1760031172.284	C624459	192.168.1.11	31924	192.168.1.14	445	tcp	smb	113.159	SF	CcdD
1760031178.860	C334390	192.168.1.10	51998	192.168.1.11	22	tcp	ssh	91.27	SF	CcdD
1760031199.728	C833852	192.168.1.10	44339	192.168.1.10	445	tcp	smb	16.876	SF	CcdD
1760031200.001	C854555	192.168.1.14	38375	192.168.1.14	3389	tcp	rdp	73.269	SF	CcdD
1760031190.292	C921249	192.168.1.18	60649	192.168.1.16	3389	tcp	rdp	73.792	SF	CcdD
1760031213.838	C398474	192.168.1.12	56381	192.168.1.20	445	tcp	smb	28.509	SF	CcdD
1760031195.490	C719006	192.168.1.10	64246	208.67.222.222	443	tcp	ssl	52.581	SF	CcdDa
1760031186.574	C154745	192.168.1.11	52682	192.168.1.16	22	tcp	ssh	96.54	SF	CcdD
1760031217.494	C691155	192.168.1.16	63409	192.168.1.10	3389	tcp	rdp	6.299	SF	CcdD
1760031204.476	C340079	192.168.1.13	52327	192.168.1.13	22	tcp	ssh	106.495	SF	CcdD
1760031215.431	C206509	192.168.1.12	35736	192.168.1.18	3389	tcp	rdp	76.484	SF	CcdD
1760031223.781	C649595	192.168.1.11	45229	192.168.1.11	445	tcp	smb	70.793	SF	CcdD
1760031243.952	C500345	192.168.1.14	41207	192.168.1.15	3389	tcp	rdp	47.07	SF	CcdD
1760031217.249	C975957	192.168.1.12	35143	192.168.1.18	22	tcp	ssh	55.024	SF	CcdD
1760031237.988	C823247	192.168.1.20	42774	208.67.222.222	443	tcp	ssl	14.637	SF	CcdDa
1760031183.104	C361245	192.168.1.13	63890	208.67.222.222	443	tcp	ssl	17.984	SF	CcdDa
1760031187.505	C246741	192.168.1.20	61152	208.67.222.222	53	udp	dns	0.0	SHR	Dq
1760031228.227	C739364	192.168.1.15	35257	172.217.10.14	53	udp	dns	0.0	SHR	Dq
1760031229.303	C664842	192.168.1.20	55224	192.168.1.19	445	tcp	smb	23.585	SF	CcdD
1760031230.064	C529354	192.168.1.10	58603	172.217.10.14	443	tcp	ssl	29.875	SF	CcdDa
1760031229.319	C395646	192.168.1.12	49710	192.168.1.13	445	tcp	smb	32.413	SF	CcdD
1760031277.059	C838451	192.168.1.17	50807	192.168.1.13	22	tcp	ssh	24.621	SF	CcdD
1760031238.368	C675325	192.168.1.16	51366	192.168.1.16	3389	tcp	rdp	42.781	SF	CcdD
1760031292.037	C876634	192.168.1.15	50340	192.168.1.13	445	tcp	smb	83.997	SF	CcdD
1760031292.987	C671506	192.168.1.19	40551	192.168.1.19	22	tcp	ssh	112.032	SF	CcdD
1760031301.226	C591148	192.168.1.16	37365	172.217.10.14	53	udp	dns	0.0	SHR	Dq
1760031204.805	C583008	192.168.1.10	35274	192.168.1.11	445	tcp	smb	67.721	SF	CcdD
1760031285.054	C779186	192.168.1.12	37600	192.168.1.18	445	tcp	smb	52.062	SF	CcdD
1760031231.477	C227848	192.168.1.13	36024	192.168.1.19	22	tcp	ssh	24.235	SF	CcdD
1760031267.754	C752033	192.168.1.12	38383	192.168.1.11	3389	tcp	rdp	51.873	SF	CcdD
1760031289.060	C986529	192.168.1.20	52033	192.168.1.18	3389	tcp	rdp	9.238	SF	CcdD
1760031196.525	C190900	192.168.1.13	62010	192.168.1.15	3389	tcp	rdp	102.784	SF	CcdD
1760031175.038	C230537	192.168.1.18	42815	192.168.1.13	445	tcp	smb	83.439	SF	CcdD
1760031280.693	C671931	192.168.1.16	33016	192.168.1.18	445	tcp	smb	48.544	SF	CcdD
1760031177.745	C741038	192.168.1.12	39720	192.168.1.16	22	tcp	ssh	79.357	SF	CcdD
1760031338.413	C956844	192.168.1.17	32518	192.168.1.12	3389	tcp	rdp	82.404	SF	CcdD
1760031209.112	C149266	192.168.1.17	45828	192.168.1.13	22	tcp	ssh	75.236	SF	CcdD
1760031232.240	C728773	192.168.1.15	48934	192.168.1.15	3389	tcp	rdp	48.577	SF	CcdD
1760031308.613	C213027	192.168.1.12	41553	192.168.1.19	22	tcp	ssh	11.132	SF	CcdD
1760031221.603	C737858	192.168.1.16	51805	192.168.1.20	22	tcp	ssh	17.444	SF	CcdD
1760031207.396	C267005	192.168.1.11	33590	192.168.1.15	3389	tcp	rdp	110.684	SF	CcdD
1760031266.038	C481823	192.168.1.20	58453	192.168.1.12	445	tcp	smb	58.271	SF	CcdD
1760031211.315	C709570	192.168.1.20	49579	192.168.1.20	22	tcp	ssh	8.107	SF	CcdD
1760031275.429	C686640	192.168.1.18	43835	192.168.1.17	22	tcp	ssh	12.84	SF	CcdD
1760031193.957	C250962	192.168.1.13	31419	192.168.1.17	445	tcp	smb	17.041	SF	CcdD
1760031254.734	C490791	192.168.1.10	39818	192.168.1.17	445	tcp	smb	80.988	SF	CcdD
1760031303.451	C116816	192.168.1.20	58325	192.168.1.18	3389	tcp	rdp	113.908	SF	CcdD
1760031277.239	C827457	192.168.1.19	43813	192.168.1.16	445	tcp	smb	26.227	SF	CcdD
1760031226.051	C508740	192.168.1.19	56698	192.168.1.20	3389	tcp	rdp	34.987	SF	CcdD
1760031338.176	C941316	192.168.1.15	59944	192.168.1.15	22	tcp	ssh	25.021	SF	CcdD
1760031252.129	C229400	192.168.1.17	56987	192.168.1.18	3389	tcp	rdp	69.971	SF	CcdD
1760031357.223	C425053	192.168.1.10	42803	192.168.1.12	22	tcp	ssh	29.987	SF	CcdD
1760031443.882	C701550	192.168.1.15	60720	192.168.1.15	3389	tcp	rdp	5.551	SF	CcdD
1760031452.310	C822084	192.168.1.14	45138	208.67.222.222	443	tcp	ssl	37.82	SF	CcdDa
1760031399.582	C982372	192.168.1.20	52019	192.168.1.17	3389	tcp	rdp	109.282	SF	CcdD
1760031319.945	C904502	192.168.1.14	48254	192.168.1.14	3389	tcp	rdp	106.895	SF	CcdD
1760031275.215	C465003	192.168.1.10	61586	192.168.1.12	22	tcp	ssh	33.054	SF	CcdD
1760031464.803	C548610	192.168.1.11	33251	192.168.1.14	3389	tcp	rdp	38.322	SF	CcdD
1760031334.237	C709501	192.168.1.12	32410	192.168.1.10	22	tcp	ssh	34.961	SF	CcdD
1760031320.024	C440755	192.168.1.20	44137	172.217.10.14	53	udp	dns	0.0	SHR	Dq
1760031276.696	C428831	192.168.1.10	60360	172.217.10.14	53	udp	dns	0.0	SHR	Dq
1760031416.873	C925581	192.168.1.19	61275	192.168.1.15	445	tcp	smb	57.035	SF	CcdD
1760031273.555	C572947	192.168.1.13	50246	192.168.1.20	3389	tcp	rdp	104.061	SF	CcdD
1760031370.715	C306096	192.168.1.19	40478	208.67.222.222	443	tcp	ssl	31.198	SF	CcdDa
1760031275.255	C716045	192.168.1.15	46000	192.168.1.16	445	tcp	smb	57.617	SF	CcdD
1760031472.986	C292627	192.168.1.15	50691	192.168.1.19	3389	tcp	rdp	104.613	SF	CcdD
1760031299.603	C362111	192.168.1.19	37948	172.217.10.14	53	udp	dns	0.0	SHR	Dq
1760031208.152	C922804	192.168.1.10	47735	192.168.1.11	3389	tcp	rdp	85.798	SF	CcdD
1760031521.741	C693718	192.168.1.15	55578	192.168.1.18	445	tcp	smb	86.751	SF	CcdD
1760031408.804	C197578	192.168.1.17	49156	192.168.1.18	3389	tcp	rdp	87.634	SF	CcdD
1760031489.136	C276478	192.168.1.12	61460	192.168.1.20	22	tcp	ssh	66.776	SF	CcdD
1760031507.498	C240904	192.168.1.17	34870	192.168.1.10	445	tcp	smb	113.322	SF	CcdD
1760031179.592	C801833	192.168.1.11	49339	192.168.1.15	3389	tcp	rdp	35.778	SF	CcdD
1760031318.024	C952790	192.168.1.10	65071	172.217.10.14	443	tcp	ssl	43.037	SF	CcdDa
1760031257.392	C899140	192.168.1.13	62841	192.168.1.18	445	tcp	smb	98.329	SF	CcdD
1760031233.734	C559496	192.168.1.11	42944	192.168.1.15	3389	tcp	rdp	101.175	SF	CcdD
1760031193.689	C976528	192.168.1.11	41813	192.168.1.19	22	tcp	ssh	64.441	SF	CcdD
1760031273.965	C390990	192.168.1.10	31589	192.168.1.15	445	tcp	smb	74.015	SF	CcdD
1760031411.604	C502139	192.168.1.17	57585	192.168.1.19	3389	tcp	rdp	41.428	SF	CcdD
1760031385.018	C699065	192.168.1.19	42686	208.67.222.222	53	udp	dns	0.0	SHR	Dq
1760031299.266	C510227	192.168.1.17	51977	208.67.222.222	443	tcp	ssl	55.481	SF	CcdDa
1760031242.494	C264870	192.168.1.10	56232	192.168.1.20	22	tcp	ssh	11.434	SF	CcdD
1760031337.532	C523680	192.168.1.10	30688	192.168.1.20	445	tcp	smb	28.922	SF	CcdD
1760031540.483	C733874	192.168.1.18	57028	192.168.1.18	22	tcp	ssh	9.01	SF	CcdD
1760031560.000	C637020	192.168.1.20	51379	172.217.10.14	53	udp	dns	0.0	SHR	Dq
1760031501.225	C703836	192.168.1.10	35987	192.168.1.14	445	tcp	smb	34.206	SF	CcdD
1760031526.652	C304083	192.168.1.17	45961	172.217.10.14	53	udp	dns	0.0	SHR	Dq
1760031359.702	C745340	192.168.1.17	49659	192.168.1.12	3389	tcp	rdp	43.18	SF	CcdD
1760031564.426	C950008	192.168.1.12	42400	192.168.1.12	3389	tcp	rdp	11.019	SF	CcdD
1760031624.371	C297334	192.168.1.10	37423	192.168.1.12	3389	tcp	rdp	91.895	SF	CcdD
1760031323.217	C542331	192.168.1.14	45658	192.168.1.13	22	tcp	ssh	35.943	SF	CcdD
1760031271.510	C807319	192.168.1.20	40799	192.168.1.18	22	tcp	ssh	82.015	SF	CcdD
1760031615.239	C306302	192.168.1.15	62901	192.168.1.16	22	tcp	ssh	20.034	SF	CcdD
1760031533.315	C838837	192.168.1.14	37447	192.168.1.20	22	tcp	ssh	91.763	SF	CcdD
1760031354.232	C706711	192.168.1.16	43807	192.168.1.18	3389	tcp	rdp	76.107	SF	CcdD
1760031606.405	C152533	192.168.1.19	47169	192.168.1.20	3389	tcp	rdp	99.939	SF	CcdD
